time_eq,latitude_eq,longitude_eq,depth_eq,magnitude_eq,depth_error_eq,zone_eq,year_eq,month_eq,day_eq,min_proximity_km,avg_proximity_km,max_proximity_km,fault_count_within_50km,fault_count_within_100km,zone_fault,latitude_fault,longitude_fault,area_fault,state_fault,state_area_fault,slip_rate_mm_per_yr_fault,plate_boundary_type_fault,fault_type_fault,fault_length_km_fault,total_fault_length_fault,rock_type_fault,rock_factor_scaled_fault,soil_type_fault,soil_factor_scaled_fault,fracture_factor_scaled_fault,strain_rate_fault,seismic_hazard_fault,fault_density_fault,attenuation_factor_fault,AF_Classification_fault,zone_mismatch_flag
1905-04-04 00:49:59.230000+00:00,32.597,76.916,20,7.9,25,5,1905,4,4,70.5871057,909.9198407,1875.235583,0,3,4,32.21,76.32,Dharamshala,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,250,775,Schist,0.005,Colluvial,0.006,0.008,6.00E-08,High,13.92,0.0063,Medium,mismatch
1905-09-26 01:25:59.570000+00:00,28.784,75.157,20,6.9,25,4,1905,9,26,300.1861642,935.8574979,2014.749978,0,0,4,30.9,77.09,Solan,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,275,775,Schist,0.005,Colluvial,0.006,0.008,5.45E-08,High,13.92,0.0063,Medium,match
1906-02-27 19:41:19.560000+00:00,31.894,76.112,15,6.61,15.1,4,1906,2,27,40.23592967,900.4614918,1937.554365,1,3,4,32.21,76.32,Dharamshala,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,250,775,Schist,0.005,Colluvial,0.006,0.008,6.00E-08,High,13.92,0.0063,Medium,match
1906-05-12 05:48:44.320000+00:00,26.228,94.522,35,6.51,25,4,1906,5,12,148.2030731,1341.054792,2554.764685,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1906-06-10 20:49:34.160000+00:00,14.224,93.087,35,5.75,4.4,4,1906,6,10,1325.00961,2020.99942,2793.161719,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1906-08-31 14:57:23.960000+00:00,26.832,97.246,15,6.44,9,4,1906,8,31,200.4013703,1581.964907,2828.038473,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1908-12-12 12:54:55.960000+00:00,26.72,97.117,15,7.18,6.8,5,1908,12,12,200.5412576,1571.291329,2814.81337,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,mismatch
0,30.993,80.336,20,6.55,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mismatch
1914-03-28 10:44:47.030000+00:00,25.438,96.356,15,6.47,20.3,4,1914,3,28,298.39148,1527.434162,2737.104053,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1914-10-09 02:39:13.480000+00:00,32.313,76.037,20,6.26,14.4,4,1914,10,9,28.97021834,920.5656584,1951.198669,2,2,4,32.21,76.32,Dharamshala,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,250,775,Schist,0.005,Colluvial,0.006,0.008,6.00E-08,High,13.92,0.0063,Medium,match
1914-10-11 16:17:00.450000+00:00,11.428,93.604,35,5.97,25,4,1914,10,11,1566.689653,2298.53747,3075.372338,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1915-08-12 09:16:58.150000+00:00,7.475,91.516,15,6.2,25,4,1915,8,12,1580.018469,2580.19433,3325.202712,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1915-12-03 02:39:23.440000+00:00,27.844,91.752,15,6.56,25,4,1915,12,3,190.3111949,1111.555434,2296.990878,0,0,3,26.35,92.69,Nagaon,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1916-10-21 19:25:16.260000+00:00,9.349,93.609,15,6.35,32.8,4,1916,10,21,1661.462626,2491.583227,3266.162095,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1917-04-12 02:55:25.640000+00:00,24.435,94.19,35,6.21,17,4,1917,4,12,222.0583745,1371.249034,2521.164675,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1917-05-09 21:46:02.540000+00:00,33.336,77.958,15,5.94,25,4,1917,5,9,197.8073607,941.6742893,1940.536425,0,0,4,32.21,76.32,Dharamshala,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,250,775,Schist,0.005,Colluvial,0.006,0.008,6.00E-08,High,13.92,0.0063,Medium,match
1917-07-04 22:09:20.490000+00:00,12.487,93.373,35,6.2,12.2,4,1917,7,4,1505.59971,2190.440562,2965.391137,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1922-10-17 06:38:01.530000+00:00,12.194,95.707,20,6.41,25,4,1922,10,17,1575.654943,2348.446266,3146.701812,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1925-05-13 23:54:36.530000+00:00,10.771,92.132,25,6.02,4,4,1925,5,13,1446.401366,2287.638078,3045.326794,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1925-06-28 13:41:52.150000+00:00,10.961,92.821,35,5.91,25,4,1925,6,28,1506.552877,2302.27341,3069.207056,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1926-05-10 08:19:01.790000+00:00,26.561,96.428,15,5.72,6.5,4,1926,5,10,179.944944,1508.941509,2745.789144,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1926-05-29 22:37:33.770000+00:00,14.725,92.278,15,5.73,6.4,4,1926,5,29,1271.761184,1933.980308,2695.592048,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1926-07-06 21:20:39.800000+00:00,11.336,92.638,35,5.51,5.7,4,1926,7,6,1472.142282,2258.538937,3023.489142,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1926-08-18 23:58:55.340000+00:00,24.765,94.282,35,5.59,8.1,4,1926,8,18,197.2944553,1365.118133,2529.423609,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1926-10-23 14:30:26.850000+00:00,24.366,92.822,15,5.67,25,4,1926,10,23,198.4745088,1265.04009,2382.957255,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1927-02-13 03:33:32.510000+00:00,24.843,93.834,35,5.54,15.6,4,1927,2,13,164.7727394,1324.079349,2484.050205,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
1927-06-02 16:37:31.260000+00:00,23.446,81.894,15,6.08,25,4,1927,6,2,252.8748113,948.5407714,1480.49713,0,0,2,22.12,79.89,Seoni,Madhya Pradesh,308245,0.5,Intraplate,Reverse_fault,100,100,Basalt,0.004,Black_cotton,0.006,0.005,5.00E-09,Low,0.32,0.005,Low,mismatch
1927-11-18 11:01:29.520000+00:00,21.404,67.43,15,5.66,25,4,1927,11,18,285.2532404,1715.021073,2948.904029,0,0,3,23.2,69.41,Mandvi,Gujarat,196024,2,Intraplate (Stable Region),KMF,65,225,MesozoicCenozoic_sedimentary_formations,0.006,Silty_clayey ,0.007,0.005,3.08E-08,Moderate,1.15,0.006,Medium,mismatch
1928-05-19 03:28:44.370000+00:00,12.115,92.773,35,5.67,11.1,4,1928,5,19,1455.921335,2193.359421,2960.679856,0,0,2,15.97,79.87,Ongole,Andhra Pradesh,162968,0.5,Intraplate,Normal,60,60,Granitic Gneiss / Charnockite,0.005,Red_loamy,0.007,0.005,8.33E-09,Low,0.37,0.0057,Medium,mismatch
1928-07-09 15:47:56.300000+00:00,26.692,95.096,25,5.5,25,4,1928,7,9,167.0534549,1384.698746,2614.10707,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1928-08-30 12:12:27.400000+00:00,26.564,95.866,15,5.51,14.1,4,1928,8,30,167.7281254,1456.763057,2689.940936,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1929-01-14 09:45:30.050000+00:00,31.218,77.292,15,5.6,54.4,4,1929,1,14,40.25613142,839.2689475,1817.415486,1,2,4,30.9,77.09,Solan,Himachal Pradesh,55673,15,Convergent (Himalayan),thrust,275,775,Schist,0.005,Colluvial,0.006,0.008,5.45E-08,High,13.92,0.0063,Medium,match
1929-03-25 03:47:14.030000+00:00,29.942,95.101,25,5.65,12.6,4,1929,3,25,218.0855843,1411.232722,2656.03639,0,0,4,28.07,95.77,,Arunachal Pradesh,83743,10,Convergent (Eastern Himalaya),Thrust (Eastern Himalaya),150,150,Metamorphic,0.006,Alluvial,0.008,0.007,6.67E-08,High,1.79,0.007,High,match
1929-04-30 18:48:55.560000+00:00,12.733,95.505,15,5.6,4.8,4,1929,4,30,1512.89489,2289.720888,3086.445463,0,0,3,26.14,93.04,Kaliabor,Assam,78438,12,Convergent (Indo-Burma),Thrust (Dauki/Haflong),400,1600,Gneiss,0.005,Alluvial,0.008,0.008,3.00E-08,Moderate,20.4,0.007,High,mismatch
